,target,situation,location,gc_id,fruit_situation_id,number_of_fruit,month_creation_date_answer,day_creation_date_answer,hour_creation_date_answer,year_creation_date_global,month_creation_date_global,day_creation_date_global,hour_creation_date_global,month_creation_date_request,day_creation_date_request,hour_creation_date_request,AP 0,favorite_fruit 0,hobby 0,hobby 1,green_vegetables 0
221,0,-1,60,20,200,-1,2,13,7,2019,1,5,16,2,13,7,True,False,True,False,True
222,1,-1,78,120,80,-1,3,9,23,2019,3,10,6,3,9,23,True,False,True,False,True
223,1,-1,71,10,10,0,1,14,10,2018,12,20,9,1,14,10,True,False,True,False,True
224,0,-1,39,10,200,0,3,30,18,2019,3,30,18,3,30,18,True,False,True,False,True
225,0,-1,45,20,200,-1,3,8,18,2019,4,8,15,3,8,18,True,False,True,False,True
226,1,-1,18,10,10,0,3,22,8,2017,12,14,0,3,22,8,True,False,True,False,True
227,2,-1,15,10,170,0,1,14,17,2019,1,20,12,1,14,17,True,False,True,False,True
228,0,-1,13,10,200,0,1,7,12,2016,7,30,0,1,7,12,True,False,True,False,True
229,1,-1,81,10,10,0,1,15,12,2018,6,25,15,1,15,12,True,False,True,False,True
230,0,-1,86,10,10,-1,1,2,7,2017,12,20,14,1,2,7,True,False,True,False,True
231,1,-1,50,10,10,0,2,22,8,2019,1,29,10,2,22,8,True,False,True,False,True
232,0,-1,17,10,160,0,3,15,14,2016,12,31,0,3,15,14,True,False,True,False,True
233,3,-1,6,10,160,-1,2,16,20,2019,2,16,20,2,16,20,True,False,True,False,True
234,0,-1,70,40,200,2,3,19,16,2018,3,19,13,3,19,16,True,True,True,False,True
235,1,-1,93,20,20,-1,3,28,7,2018,12,21,9,3,28,7,True,False,True,False,True
236,0,-1,35,10,200,0,1,25,8,2018,7,2,7,1,25,8,True,False,False,True,True
237,0,-1,14,10,200,-1,1,20,18,2018,12,26,13,1,20,18,True,False,True,False,True
238,2,-1,69,10,10,-1,1,8,10,2018,7,14,7,1,8,10,True,False,True,False,True
239,0,-1,52,30,200,-1,1,12,18,2018,12,26,12,1,12,18,True,True,True,False,True
240,1,-1,95,40,50,1,3,18,10,2018,11,26,12,3,18,10,True,True,True,False,True
241,2,-1,96,10,10,0,2,6,9,2018,12,14,18,2,6,9,True,False,True,False,True
242,1,-1,22,10,10,0,1,24,20,2014,5,8,0,1,24,20,True,False,True,False,True
243,1,-1,63,10,100,-1,1,14,21,2019,1,15,10,1,14,21,True,False,True,False,True
244,0,-1,70,100,200,-1,2,6,10,2019,1,22,9,2,6,10,True,True,True,False,True
245,1,-1,92,100,160,2,1,3,20,2018,12,28,15,1,3,20,True,True,True,False,True
246,0,-1,39,10,200,0,3,5,18,2019,2,19,13,3,5,18,True,False,True,False,True
247,1,-1,29,10,10,-1,2,19,19,2019,1,9,20,2,19,19,True,False,True,False,True
248,1,-1,14,10,10,0,1,25,10,2017,7,27,0,1,25,10,True,False,True,False,True
249,2,-1,95,100,120,-1,1,25,20,2019,1,25,20,1,25,20,True,True,True,False,True
250,1,-1,22,80,10,-1,2,21,14,2019,1,25,19,2,21,14,True,False,True,False,True
251,1,-1,36,10,200,0,2,24,7,2017,10,29,0,2,24,7,True,False,True,False,True
252,1,-1,10,30,10,-1,1,21,9,2019,1,14,9,1,21,9,True,True,True,False,True
253,1,-1,32,20,10,-1,2,25,11,2019,1,7,14,2,25,11,True,False,True,False,True
254,1,-1,3,10,10,0,3,7,8,2019,1,17,10,3,7,8,False,False,True,False,True
255,0,-1,60,20,120,-1,3,20,20,2019,3,20,20,3,20,20,True,False,True,False,True
256,1,-1,43,10,10,0,2,26,15,2018,10,30,14,2,26,15,True,False,True,False,True
257,0,-1,47,10,10,-1,3,15,9,2018,9,30,7,3,15,9,True,False,True,False,True
258,0,-1,45,20,10,0,2,12,12,2017,12,7,12,2,12,12,True,False,True,False,True
259,0,-1,53,20,120,-1,1,29,8,2019,1,28,16,1,29,8,True,False,True,False,True
260,2,-1,30,20,10,-1,1,29,15,2019,1,10,17,1,29,15,True,False,True,False,True
261,0,-1,60,10,200,0,3,6,8,2018,11,23,12,3,6,8,True,False,True,False,True
262,0,-1,39,30,200,0,2,28,20,2019,1,23,11,2,28,20,True,True,True,False,True
263,1,-1,47,70,200,-1,1,30,8,2019,1,30,10,1,30,8,True,True,True,False,True
264,0,-1,86,10,200,0,3,5,15,2019,2,5,9,3,5,15,True,False,True,False,True
265,0,-1,59,80,10,-1,1,8,9,2019,1,10,13,1,8,9,True,False,True,False,True
266,1,-1,78,10,10,-1,1,23,7,2018,11,18,11,1,23,7,True,False,True,False,True
267,1,-1,32,10,200,-1,2,22,11,2019,1,9,16,2,22,11,True,False,True,False,True
268,2,-1,95,40,50,-1,3,28,10,2018,10,19,13,3,28,10,True,True,True,False,True
269,1,-1,59,80,10,-1,1,19,9,2019,1,10,13,1,19,9,True,False,True,False,True
270,0,-1,92,40,200,1,3,2,9,2018,12,18,10,3,2,9,True,True,True,False,True
271,1,-1,68,10,200,-1,3,21,22,2016,7,20,0,3,21,22,True,False,True,False,True
272,1,-1,36,10,10,-1,1,8,9,2019,1,6,10,1,8,9,True,False,True,False,True
273,0,-1,34,100,200,-1,3,5,17,2019,2,25,10,3,5,17,True,True,True,False,True
274,1,-1,315710,20,200,-1,2,3,18,2018,12,15,19,2,3,18,True,False,True,False,True
275,0,-1,58,20,120,-1,3,1,13,2018,2,8,0,3,1,13,True,False,True,False,True
276,1,-1,3,30,10,-1,3,11,8,2018,12,28,9,3,11,8,True,True,True,False,True
277,1,-1,29,80,10,-1,2,10,17,2019,1,25,13,2,10,17,True,False,True,False,True
278,0,-1,68,40,200,-1,2,16,9,2018,9,26,14,2,16,9,True,True,True,False,True
279,1,-1,14,10,200,0,3,7,8,2018,8,1,13,3,7,8,True,False,True,False,True
280,0,-1,68,60,200,-1,2,10,15,2017,7,6,0,2,10,15,True,True,True,False,True
281,0,-1,78,10,200,0,1,7,18,2018,12,14,16,1,7,18,True,False,True,False,True
282,1,-1,34,10,10,0,1,27,22,2018,2,21,18,1,27,22,True,False,True,False,True
283,0,-1,38,10,10,-1,2,27,14,2017,10,31,14,2,27,14,True,False,True,False,True
284,2,-1,22,40,170,-1,1,17,16,2019,1,17,17,1,17,16,True,True,True,False,True
285,1,-1,95,20,10,0,2,1,8,2018,12,15,12,2,1,8,True,False,True,False,True
286,0,-1,94,60,120,-1,2,13,8,2018,12,31,13,2,13,8,True,True,True,False,False
287,2,-1,69,10,130,-1,2,26,9,2017,9,26,0,2,26,9,True,False,True,False,True
288,0,-1,60,10,200,-1,1,1,10,2018,10,11,10,1,1,10,True,False,True,False,True
289,0,-1,60,10,200,0,2,27,9,2018,12,4,11,2,27,9,True,False,True,False,True
290,2,-1,28,80,50,-1,1,16,8,2018,5,17,16,1,16,8,True,False,True,False,True
291,0,-1,36,10,200,-1,1,16,8,2018,2,27,13,1,16,8,True,False,True,False,True
